Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  279 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1439067,  1442294,  3227 
268 , 4568333,  4621879,  53546 , 1647590 
269 , 5392145,  5445782,  53637 , 1647715 
270 , 6216156,  6269845,  53689 , 1648074 
271 , 7039733,  7093500,  53767 , 1647232 
272 , 7863734,  7917567,  53833 , 1648068 
273 , 8687294,  8741197,  53903 , 1647190 
274 , 9511262,  9565235,  53973 , 1648006 
275 , 10334794,  10388829,  54035 , 1647126 
276 , 11158781,  11212889,  54108 , 1648047 
277 , 11982326,  12036503,  54177 , 1647159 
278 , 12806314,  12860561,  54247 , 1648046 
Число меток разделителя:  5 
0 
201 
232 
263 
279 
Эффективный угловой размер затеняющй спицы:  0.005388244342  0.000003375327 
Период линейных колебаний [сек]:  1.374836048041  0.000861230609   
